gbifID,institutionCode,collectionCode,occurrenceID,catalogNumber,recordNumber,recordedBy,fieldNumber,eventDate,year,month,day,eventRemarks,countryCode,stateProvince,locality,decimalLongitude,decimalLatitude,elevation,habitat,eventRemarks,references,basisOfRecord,taxonID,scientificNameID,family,genus,species,scientificName,taxonomicStatus,acceptedScientificName,datasetKey,mediaType,occurrenceRemarks,dynamicProperties,fieldNotes,reproductiveCondition,hasGeospatialIssues,hasCoordinate,coordinateUncertaintyInMeters,issue,image_url,acceptedScientificName_corr,Country_name,Binned_latitude
3390901853,Universidad Tecnológica del Chocó (UTCH),CHOCO,UTCH:CHOCO:10792,10792,704,S. Suáres;G. Galeano;E. Ayazo;L. García,,1995-04-17T00:00:00,1995.0,4.0,17.0,,CO,Chocó,"Corregimiento de Arusí, Estación Bilógica El AMARGAL",-77.5,5.566667,,,,,PRESERVED_SPECIMEN,,,Rubiaceae,Pentagonia,Pentagonia donnell-smithii,Pentagonia donnell-smithii (Standl.) Standl.,ACCEPTED,Pentagonia donnell-smithii (Standl.) Standl.,26d97e94-6ee9-4d5a-a9b8-7d514ec0345c,,Hierba. Peciolos rojizos. Flores axilares. Séplaos fuccsia o amarillo claro. Frutos amarillos.,,,No reproductiva,False,True,,COORDINATE_ROUNDED;INSTITUTION_MATCH_NONE,,Pentagonia macrophylla Benth.,Colombia,"(0, 10]"
3390900865,Universidad Tecnológica del Chocó (UTCH),CHOCO,UTCH:CHOCO:15366,15366,266,Saúl E. Hoyos-Gómez;Andrés Upegui;Federico Álvarez,,2005-06-26T00:00:00,2005.0,6.0,26.0,,CO,Chocó,"Bahía de Sapzurro, camino Sapzurro-Punta de Las Flores",-77.36651,8.66021,,,,,PRESERVED_SPECIMEN,,,Piperaceae,Piper,Piper amphioxys,Piper amphioxys Trel.,ACCEPTED,Piper amphioxys Trel.,26d97e94-6ee9-4d5a-a9b8-7d514ec0345c,,Arbusto de 2-3 m de altura; hojas discolor; inflorescencia blanca-verdosa; tallo con nudos conspicuos,,,Floración,False,True,632.38,INSTITUTION_MATCH_NONE,,Piper aequale Vahl,Colombia,"(0, 10]"
3350093506,,,JQ593729,BioBot05144,,"Adrian Guadamuz, Jorge Hernandez, Anabelle Cordoba.",,2008-09-11T00:00:00,2008.0,9.0,11.0,,CR,,"Area de Conservacion Guanacaste, Rincon Rainforest, Rio Francia",-85.290001,10.9,,,,https://www.ebi.ac.uk/ena/browser/view/JQ593729,PRESERVED_SPECIMEN,ASV:29ee8fa440b32b220e821652b1dec817,,Rubiaceae,Pentagonia,Pentagonia donnell-smithii,Pentagonia donnell-smithii (Standl.) Standl.,ACCEPTED,Pentagonia donnell-smithii (Standl.) Standl.,d8cd16ba-bb74-4420-821e-083f2bac17c2,,"Pentagonia donnell-smithii voucher BioBot05144 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.",,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84,,Pentagonia macrophylla Benth.,Costa Rica,"(10, 20]"
3347090497,,,JQ593731,BioBot05180,,"Adrian Guadamuz, Jorge Hernandez,Anabelle Cordoba.",,2008-09-23T00:00:00,2008.0,9.0,23.0,,CR,,"Area de Conservacion Guanacaste, Rincon Rainforest, Rio Francia Arriba",-85.290001,10.9,,,,https://www.ebi.ac.uk/ena/browser/view/JQ593731,PRESERVED_SPECIMEN,ASV:29ee8fa440b32b220e821652b1dec817,,Rubiaceae,Pentagonia,Pentagonia donnell-smithii,Pentagonia donnell-smithii (Standl.) Standl.,ACCEPTED,Pentagonia donnell-smithii (Standl.) Standl.,d8cd16ba-bb74-4420-821e-083f2bac17c2,,"Pentagonia donnell-smithii voucher BioBot05180 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.",,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84,,Pentagonia macrophylla Benth.,Costa Rica,"(10, 20]"
3347032511,,,JQ592695,BioBot06513,,Jorge Hernandez,,2011-04-19T00:00:00,2011.0,4.0,19.0,,CR,,"Area de Conservacion Guanacaste, Rincon Rainforest, Rio Francia",-85.290001,10.9,,,,https://www.ebi.ac.uk/ena/browser/view/JQ592695,PRESERVED_SPECIMEN,ASV:d9dd01b1b19e72389727ca3067fdda39,,Melastomataceae,Miconia,Miconia neomicrantha,Miconia neomicrantha Judd & Skean,ACCEPTED,Miconia neomicrantha Judd & Skean,d8cd16ba-bb74-4420-821e-083f2bac17c2,,"Ossaea micrantha voucher BioBot06513 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.",,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84,,Ossaea micrantha (Sw.) Macfad. ex Cogn.,Costa Rica,"(10, 20]"
3347009385,,,JQ592696,BioBot06515,,Jorge Hernandez,,2011-04-19T00:00:00,2011.0,4.0,19.0,,CR,,"Area de Conservacion Guanacaste, Rincon Rainforest, Rio Francia",-85.290001,10.9,,,,https://www.ebi.ac.uk/ena/browser/view/JQ592696,PRESERVED_SPECIMEN,ASV:56327cd513243c06c3afc6c57b0df12b,,Melastomataceae,Miconia,Miconia neomicrantha,Miconia neomicrantha Judd & Skean,ACCEPTED,Miconia neomicrantha Judd & Skean,d8cd16ba-bb74-4420-821e-083f2bac17c2,,"Ossaea micrantha voucher BioBot06515 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.",,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84,,Ossaea micrantha (Sw.) Macfad. ex Cogn.,Costa Rica,"(10, 20]"
3347005063,,,JQ588977,BioBot05145,,"Adrian Guadamuz, Jorge Hernandez,Anabelle Cordoba.",,2008-09-11T00:00:00,2008.0,9.0,11.0,,CR,,"Area de Conservacion Guanacaste, Rincon Rainforest, Rio Francia",-85.290001,10.9,,,,https://www.ebi.ac.uk/ena/browser/view/JQ588977,PRESERVED_SPECIMEN,ASV:fc7cd543464166ad0cb606b954870d95,,Rubiaceae,Pentagonia,Pentagonia donnell-smithii,Pentagonia donnell-smithii (Standl.) Standl.,ACCEPTED,Pentagonia donnell-smithii (Standl.) Standl.,d8cd16ba-bb74-4420-821e-083f2bac17c2,,"Pentagonia donnell-smithii voucher BioBot05145 maturase K (matK) gene, partial cds; chloroplast.",,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84,,Pentagonia macrophylla Benth.,Costa Rica,"(10, 20]"
3336605381,TEX,TEX,96d0249a-1f2c-409a-9e15-76b79c819543,00515030,,Jonathan Amith,2631,2015-07-31T00:00:00,2015.0,7.0,31.0,Bosque mesófilo secuarioy Lugar muy inclinado al lado de una vereda que pasa por un campo abierto.,MX,Puebla,Pueblo: La Galera. Localidad exacta: Partieo de La Galera en vehículo hasta llegar a la cabaña del doctor Moises Abraham y tomao la vereda rumbo a Kwicha:t unos 10 minutos de camino. Y siguieo 150 metros más por la misma vereda y otros 100 metros.,-97.51448,19.99715,,,Bosque mesófilo secuarioy Lugar muy inclinado al lado de una vereda que pasa por un campo abierto.,,PRESERVED_SPECIMEN,,,Primulaceae,Myrsine,Myrsine coriacea,Myrsine coriacea subsp. coriacea,ACCEPTED,Myrsine coriacea subsp. coriacea,cd096ec0-a8a0-4c65-92cc-48b00fb934ce,StillImage,"Floristics, biodiversity, a traditional ecological knowledge in the Sierra Nororiental of Puebla, Mexico; suplemento para Guerrero",,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,http://was.tacc.utexas.edu/fileget?coll=TEX-LL&type=O&filename=sp68153262711245831963.att.jpg,Myrsine coriacea (Sw.) R. Br. ex Roem. & Schult.,Mexico,"(10, 20]"
3336605337,TEX,TEX,3f91ab5d-41b5-4fad-bd05-872661c264b9,00504882,,M. Jiménez;Mariano Gorostiza,31214,2016-02-20T00:00:00,2016.0,2.0,20.0,"Pastizal iucido En ladera, en potrero.",MX,Puebla,"Pueblo: Cuauhtémoc. Localidad exacta: En el Rancho San José, a 15 minutos del centro de Cuauhtémoc, rumbo a Copales.",-97.43434,20.06711,,,"Pastizal iucido En ladera, en potrero.",,PRESERVED_SPECIMEN,,,Primulaceae,Myrsine,Myrsine coriacea,Myrsine coriacea subsp. coriacea,ACCEPTED,Myrsine coriacea subsp. coriacea,cd096ec0-a8a0-4c65-92cc-48b00fb934ce,StillImage,"Floristics, biodiversity, a traditional ecological knowledge in the Sierra Nororiental of Puebla, Mexico; suplemento para Guerrero",,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,http://was.tacc.utexas.edu/fileget?coll=TEX-LL&type=O&filename=sp67735027627484871929.att.jpg,Myrsine coriacea (Sw.) R. Br. ex Roem. & Schult.,Mexico,"(20, 30]"
3336598443,TEX,TEX,db3b2b23-aca1-4dd0-ad55-c30ec79f012e,00515032,,P. Acevedo,15982,2014-11-03T00:00:00,2014.0,11.0,3.0,"Área húmeda, rancho de ganado rodeado por cafetal y bosque perennifolio.",MX,Puebla,"Pueblo: Taxipehual. Localidad exacta: Walking across a pasture a then up the hill to the south a east of Taxipehual. Moist area, cattle ranch bordered with coffee plants a forest.",-97.44784,19.99943,,,"Área húmeda, rancho de ganado rodeado por cafetal y bosque perennifolio.",,PRESERVED_SPECIMEN,,,Primulaceae,Myrsine,Myrsine coriacea,Myrsine coriacea subsp. coriacea,ACCEPTED,Myrsine coriacea subsp. coriacea,cd096ec0-a8a0-4c65-92cc-48b00fb934ce,StillImage,"Floristics, biodiversity, a traditional ecological knowledge in the Sierra Nororiental of Puebla, Mexico; suplemento para Guerrero",,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,http://was.tacc.utexas.edu/fileget?coll=TEX-LL&type=O&filename=sp68296067337947937424.att.jpg,Myrsine coriacea (Sw.) R. Br. ex Roem. & Schult.,Mexico,"(10, 20]"
